Estimulo;C2;C3;C4
2;830260.3411,35141858.119888,29.786241,40.821289,830263.234376,35141969.702896,29.786256,40.821367;410718.749425,24428289.745971,33.005241,36.453577,410722.661791,24428491.160573,33.005242,36.453725;932653.939497,33484898.752904,30.678779,40.790328,932659.078601,33485176.367953,30.678796,40.790505
2;830263.639036,35142010.758323,29.786271,40.821408,830267.857424,35142205.153856,29.786276,40.821543;410723.349875,24428563.034267,33.005259,36.453802,410731.887196,24428875.680251,33.005221,36.45404;932660.04442,33485269.766257,30.678824,40.790596,932671.8846,33485708.225758,30.678809,40.790883
2;830268.593386,35142309.0763,29.786284,40.821608,830271.884479,35142413.244173,29.786293,40.821678;410733.09489,24429053.956101,33.00521,36.454159,410738.67349,24429231.496729,33.005197,36.454286;932673.360993,33485947.291027,30.678812,40.791023,932680.399324,33486189.839548,30.678814,40.791176
2;830272.529537,35142519.876436,29.786317,40.821762,830272.904994,35142623.966153,29.786336,40.821835;410739.951206,24429407.041209,33.00521,36.454434,410740.614879,24429581.393379,33.005217,36.454563;932681.742597,33486417.578424,30.678848,40.791348,932682.624572,33486656.886,30.678871,40.791504
0;830273.716419,35142713.065728,29.78636,40.821905,830273.716419,35142713.065728,29.78636,40.821905;410741.428927,24429727.698729,33.005239,36.454689,410741.428927,24429727.698729,33.005239,36.454689;932683.792619,33486847.518114,30.678911,40.791651,932683.792619,33486847.518114,30.678911,40.791651
1;830275.638889,35142778.005084,29.786383,40.821964,830279.836994,35142889.352813,29.786422,40.822074;410743.627198,24429831.027854,33.005263,36.454789,410750.343193,24430051.564031,33.005297,36.455004;932686.686942,33486978.631364,30.67895,40.791766,932695.581039,33487267.537307,30.679018,40.792028
0;830291.232866,35143616.763751,29.786544,40.822601,830291.232866,35143616.763751,29.786544,40.822601;410768.896122,24431257.039981,33.00533,36.455943,410768.896122,24431257.039981,33.00533,36.455943;932718.285218,33488812.03164,30.679183,40.79311,932718.285218,33488812.03164,30.679183,40.79311
2;830293.780991,35143705.468186,29.786563,40.822677,830297.479937,35143939.379506,29.786558,40.822815;410772.711026,24431395.632799,33.00534,36.456075,410779.393524,24431821.843937,33.005267,36.456345;932722.881504,33488984.379464,30.679214,40.79326,932731.865383,33489589.954674,30.679165,40.793598
1;830300.648801,35144231.379575,29.786592,40.823007,830301.367794,35144483.775645,29.786614,40.823178;410784.000849,24432301.13665,33.005261,36.456687,410785.499707,24432724.126488,33.005238,36.456995;932737.547685,33490189.685931,30.679209,40.793986,932739.89299,33490760.408774,30.679224,40.794353
0;830301.981335,35144581.354741,29.786635,40.823251,830301.981335,35144581.354741,29.786635,40.823251;410786.519323,24432871.010868,33.005254,36.457118,410786.519323,24432871.010868,33.005254,36.457118;932741.292312,33490950.383223,30.679257,40.794496,932741.292312,33490950.383223,30.679257,40.794496
1;830302.6133,35144769.811325,29.786659,40.823377,830305.086862,35144835.958113,29.786679,40.82343;410787.602243,24433200.196227,33.005247,36.457352,410790.874716,24433318.405526,33.005261,36.457448;932742.905145,33491353.173461,30.679285,40.79476,932747.912277,33491501.062323,30.679314,40.79487
2;830308.400478,35145103.059742,29.786746,40.823658,830323.757554,35145448.533496,29.786705,40.823824;410796.151081,24433752.726042,33.005311,36.457851,410821.068885,24434331.175464,33.005164,36.458155;932753.658265,33492048.147626,30.679425,40.795335,932788.810123,33492839.56696,30.679303,40.795704
0;830330.685754,35145768.131958,29.786764,40.824054,830330.685754,35145768.131958,29.786764,40.824054;410831.30341,24434838.358746,33.005199,36.458556,410831.30341,24434838.358746,33.005199,36.458556;932801.296059,33493467.699424,30.679397,40.796155,932801.296059,33493467.699424,30.679397,40.796155
1;830331.864019,35145821.89564,29.786783,40.824107,830336.876573,35145940.492765,29.78681,40.8242;410833.43919,24434926.482507,33.005214,36.458648,410840.729947,24435115.470746,33.005231,36.458809;932803.918785,33493582.745775,30.679424,40.796263,932813.64798,33493827.682452,30.679465,40.796453
2;830337.997776,35145979.230027,29.786832,40.824247,830339.85897,35146117.705723,29.786867,40.82436;410841.977252,24435180.808884,33.005257,36.458894,410844.831639,24435409.780182,33.005283,36.459095;932815.124059,33493912.73534,30.679504,40.796552,932818.920731,33494207.057501,30.67956,40.796785
1;830339.981081,35146217.9035,29.786885,40.824424,830340.714757,35146402.277781,29.786909,40.82454;410844.938484,24435578.959801,33.005292,36.459208,410846.644227,24435893.381952,33.00529,36.459418;932819.106693,33494421.387257,30.679585,40.796915,932821.366068,33494847.05592,30.679607,40.797164
0;830346.444822,35146706.177176,29.786967,40.824755,830346.444822,35146706.177176,29.786967,40.824755;410853.765927,24436393.586585,33.005318,36.459798,410853.765927,24436393.586585,33.005318,36.459798;932830.393762,33495499.711248,30.679691,40.797612,932830.393762,33495499.711248,30.679691,40.797612
1;830347.073495,35146789.642496,29.786995,40.82483,830348.576157,35146846.770873,29.787043,40.824903;410854.59527,24436525.968988,33.005341,36.459926,410857.271232,24436624.495564,33.005403,36.460051;932831.899326,33495673.408399,30.679731,40.79776,932835.843078,33495807.299454,30.67981,40.797907
1;830357.408478,35147332.655355,29.787122,40.825254,830357.731497,35147422.386911,29.78715,40.825323;410870.431507,24437359.469058,33.005441,36.46065,410871.27879,24437516.447636,33.005468,36.460773;932851.315458,33496758.833361,30.679935,40.798604,932852.522387,33496965.71545,30.679981,40.798751
0;830360.536707,35147624.244335,29.787165,40.825452,830360.536707,35147624.244335,29.787165,40.825452;410875.107139,24437786.1287,33.005464,36.460975,410875.107139,24437786.1287,33.005464,36.460975;932857.056717,33497305.000251,30.68001,40.798983,932857.056717,33497305.000251,30.68001,40.798983
0;830371.249472,35148468.542106,29.787385,40.826123,830371.249472,35148468.542106,29.787385,40.826123;410890.351274,24439193.507119,33.005637,36.462174,410890.351274,24439193.507119,33.005637,36.462174;932875.867633,33499174.668194,30.680358,40.800406,932875.867633,33499174.668194,30.680358,40.800406
0;830383.085876,35149158.402677,29.78754,40.826661,830383.085876,35149158.402677,29.78754,40.826661;410909.999368,24440344.603181,33.005731,36.463139,410909.999368,24440344.603181,33.005731,36.463139;932899.197272,33500670.5948,30.68059,40.801531,932899.197272,33500670.5948,30.68059,40.801531
1;830384.075666,35149253.060269,29.78756,40.826737,830390.253594,35149319.879358,29.787583,40.8268;410912.018241,24440499.743093,33.005742,36.463274,410919.577658,24440607.368084,33.005765,36.463382;932901.693091,33500864.839505,30.680623,40.801688,932911.182455,33501011.564614,30.680664,40.80182
1;830393.554789,35149541.30196,29.787642,40.826976,830396.743554,35149690.031865,29.787676,40.827085;410923.737407,24440994.369474,33.005806,36.4637,410928.836784,24441230.058893,33.00583,36.463887;932916.502235,33501519.275393,30.680748,40.802192,932923.152305,33501834.484236,30.680799,40.802415
1;830401.592714,35149733.887882,29.7877,40.827143,830402.118068,35149845.735972,29.787754,40.827245;410935.796071,24441295.617826,33.005853,36.463978,410937.027091,24441483.576921,33.005919,36.464159;932931.548015,33501919.562413,30.680835,40.802519,932933.294128,33502161.324603,30.680927,40.802728
0;830402.425928,35149961.374447,29.787777,40.827328,830402.425928,35149961.374447,29.787777,40.827328;410938.019278,24441673.280638,33.00593,36.464305,410938.019278,24441673.280638,33.00593,36.464305;932934.560226,33502404.083931,30.680961,40.802897,932934.560226,33502404.083931,30.680961,40.802897
2;830404.575256,35150135.494442,29.787823,40.827472,830408.915211,35150309.147056,29.78785,40.827587;410941.032701,24441957.082574,33.005966,36.464557,410946.682808,24442219.449117,33.005982,36.464752;932938.125067,33502764.075236,30.681032,40.803186,932944.794262,33503107.005032,30.681078,40.803414
2;830409.105326,35150372.986243,29.787867,40.827635,830410.737712,35150516.270872,29.787883,40.827731;410946.940976,24442323.72266,33.005997,36.464837,410949.179697,24442558.868139,33.005993,36.465008;932945.121701,33503249.01518,30.681106,40.803517,932948.656244,33503566.746934,30.681122,40.803723
1;830411.311622,35150552.770392,29.787892,40.827761,830411.589898,35150674.134649,29.787931,40.827855;410949.717112,24442619.149893,33.006001,36.465062,410950.163159,24442831.483138,33.006033,36.465232;932949.283523,33503645.503529,30.681138,40.803786,932949.730759,33503913.332611,30.681197,40.803982
0;830411.750041,35150776.358739,29.787964,40.82794,830411.750041,35150776.358739,29.787964,40.82794;410950.443514,24443006.666779,33.006064,36.465386,410950.443514,24443006.666779,33.006064,36.465386;932950.324832,33504135.800271,30.681251,40.804159,932950.324832,33504135.800271,30.681251,40.804159
2;830413.417022,35150876.349232,29.787976,40.82801,830413.495048,35150946.955346,29.787977,40.828047;410953.198008,24443174.652402,33.006061,36.465512,410953.28912,24443285.412627,33.006049,36.465577;932953.640902,33504345.66206,30.681265,40.804302,932953.757458,33504491.968359,30.68126,40.804378
1;830415.152293,35151004.550103,29.788013,40.82812,830417.274288,35151067.897997,29.788055,40.828192;410955.260829,24443381.228326,33.006093,36.465703,410958.129983,24443473.347188,33.006148,36.465823;932956.191254,33504615.544616,30.681326,40.804527,932959.055741,33504731.099257,30.681403,40.804666
0;830424.558475,35151574.585547,29.788127,40.828542,830424.558475,35151574.585547,29.788127,40.828542;410972.252016,24444325.183534,33.006152,36.466455,410972.252016,24444325.183534,33.006152,36.466455;932976.272382,33505811.719497,30.681496,40.805388,932976.272382,33505811.719497,30.681496,40.805388
2;830426.00174,35151671.284878,29.788166,40.828636,830429.771497,35151719.2712,29.788171,40.828668;410974.789216,24444497.700255,33.006187,36.466624,410980.153959,24444576.367791,33.006185,36.46668;932980.035766,33506040.2777,30.681554,40.805588,932986.263111,33506142.697763,30.68156,40.805654
2;830439.754872,35152128.16778,29.788264,40.828983,830445.886728,35152184.603592,29.788278,40.829039;410994.733921,24445242.284048,33.006248,36.467231,411005.192802,24445336.170159,33.006253,36.467329;933003.3397,33506989.573997,30.681704,40.806287,933016.578185,33507109.701895,30.681722,40.806401
0;830446.163933,35152253.315639,29.788307,40.829113,830446.163933,35152253.315639,29.788307,40.829113;411005.853493,24445462.289709,33.006279,36.467464,411005.853493,24445462.289709,33.006279,36.467464;933017.498874,33507269.625477,30.681769,40.806558,933017.498874,33507269.625477,30.681769,40.806558
2;830450.779238,35152468.710648,29.788364,40.829291,830451.73937,35152567.113791,29.788374,40.829359;411013.080766,24445826.050105,33.006317,36.46778,411014.736457,24445996.506545,33.006308,36.467904;933026.912188,33507745.120698,30.681848,40.806925,933028.405307,33507961.126599,30.681858,40.807066
1;830452.667731,35152612.998247,29.788403,40.829414,830454.963567,35152819.316321,29.788421,40.829538;411016.347521,24446070.299773,33.006342,36.467997,411020.21567,24446420.101165,33.006328,36.468221;933030.42937,33508060.665173,30.681904,40.807175,933035.819768,33508533.443431,30.681917,40.807445
0;830456.91262,35153051.890278,29.788478,40.82971,830456.91262,35153051.890278,29.788478,40.82971;411023.349677,24446829.049281,33.006364,36.468536,411023.349677,24446829.049281,33.006364,36.468536;933039.822644,33509085.014137,30.681997,40.807823,933039.822644,33509085.014137,30.681997,40.807823
1;830458.04372,35153138.418494,29.788494,40.829777,830458.04372,35153138.418494,29.788494,40.829777;411024.885587,24446969.317468,33.006371,36.468654,411024.885587,24446969.317468,33.006371,36.468654;933042.052059,33509267.754338,30.68202,40.807962,933042.052059,33509267.754338,30.68202,40.807962
2;1679389.32936,37781020.472082,28.026579,41.218965,1679389.463656,37781085.169209,28.026596,41.21901;1303601.806192,35761921.222461,28.595158,40.361545,1303601.929372,35761937.460689,28.595164,40.361557;1095126.906605,34521884.038019,29.605174,40.518161,1095127.109628,34521899.390069,29.605178,40.518173
0;1679435.670533,37782330.843735,28.027097,41.220145,1679435.670533,37782330.843735,28.027097,41.220145;1303611.769506,35762191.700406,28.595301,40.361822,1303611.769506,35762191.700406,28.595301,40.361822;1095135.124241,34522143.632826,29.605299,40.518427,1095135.124241,34522143.632826,29.605299,40.518427
2;1679442.306272,37782360.649125,28.027099,41.220167,1679457.536509,37783674.991135,28.027151,41.220952;1303613.246042,35762199.259093,28.595301,40.361828,1303617.043434,35762485.351063,28.595321,40.362011;1095136.497332,34522150.704617,29.605299,40.518432,1095140.062271,34522416.394209,29.605311,40.518603
1;1679482.642866,37783777.67027,28.027151,41.221026,1679509.173693,37784433.205763,28.027159,41.221383;1303621.943499,35762509.220114,28.595323,40.36203,1303626.188917,35762662.952565,28.595327,40.362117;1095144.312258,34522440.49136,29.605312,40.518621,1095148.303432,34522591.343966,29.605312,40.518706
0;1679514.909171,37784678.987715,28.027324,41.221656,1679514.909171,37784678.987715,28.027324,41.221656;1303628.286675,35762731.187158,28.595372,40.362193,1303628.286675,35762731.187158,28.595372,40.362193;1095150.157931,34522658.404992,29.60535,40.518779,1095150.157931,34522658.404992,29.60535,40.518779
2;1679521.196798,37784820.325702,28.02743,41.221819,1679633.509322,37786789.318355,28.028342,41.2236;1303631.061147,35762773.02048,28.595402,40.362241,1303655.30877,35763189.632001,28.595645,40.362661;1095153.141113,34522699.021302,29.605375,40.518825,1095177.029078,34523102.00179,29.605592,40.519231
0;1679675.486329,37787120.869753,28.028518,41.223985,1679675.486329,37787120.869753,28.028518,41.223985;1303662.890968,35763266.446524,28.595696,40.362758,1303662.890968,35763266.446524,28.595696,40.362758;1095184.357419,34523184.550774,29.605635,40.519328,1095184.357419,34523184.550774,29.605635,40.519328
2;1679678.010744,37787213.215697,28.028551,41.224064,1679743.964426,37789579.44052,28.029589,41.226198;1303663.929536,35763294.500269,28.595707,40.362783,1303680.682007,35763790.573701,28.595992,40.363294;1095185.434394,34523215.295167,29.605643,40.519352,1095201.030701,34523688.299342,29.605896,40.519843
2;1679753.373422,37789994.273741,28.029784,41.226576,1679832.386533,37791113.852206,28.030633,41.22795;1303683.125618,35763878.961097,28.596045,40.363385,1303700.890232,35764130.468249,28.596256,40.363715;1095203.028218,34523773.568282,29.605942,40.51993,1095219.43886,34524017.066258,29.606129,40.520248
1;1679901.987475,37791382.119763,28.030596,41.228108,1679903.081131,37791414.818197,28.030617,41.228146;1303716.417978,35764188.672848,28.596246,40.363751,1303717.055605,35764199.581144,28.596252,40.363762;1095234.403727,34524072.471211,29.606117,40.520281,1095235.067877,34524083.137749,29.606121,40.520292
